iter	Passed	Remaining
485	1324	1400
486	1336	1408
487	1338	1404
488	1340	1401
489	1342	1397
490	1344	1394
491	1350	1394
492	1353	1391
493	1355	1388
494	1356	1384
495	1358	1380
496	1360	1376
497	1362	1373
498	1364	1369
499	1366	1366
500	1368	1362
501	1369	1358
502	1374	1357
503	1375	1353
504	1377	1350
505	1379	1346
506	1380	1342
507	1382	1338
508	1384	1335
509	1385	1331
510	1390	1331
511	1392	1327
512	1393	1323
513	1395	1319
514	1395	1314
515	1396	1310
516	1397	1305
517	1398	1301
518	1399	1297
519	1400	1292
520	1402	1289
521	1403	1285
522	1404	1280
523	1405	1276
524	1406	1272
525	1407	1268
526	1408	1263
527	1409	1259
528	1410	1255
529	1411	1251
530	1411	1247
531	1413	1243
532	1417	1241
533	1418	1237
534	1419	1234
535	1420	1229
536	1421	1225
537	1422	1221
538	1423	1217
539	1424	1213
540	1425	1209
541	1426	1205
542	1427	1201
543	1429	1198
544	1431	1194
545	1432	1190
546	1433	1187
547	1434	1183
548	1435	1179
549	1436	1175
550	1437	1171
551	1438	1167
552	1439	1163
553	1440	1159
554	1441	1155
555	1442	1151
556	1444	1149
557	1445	1145
558	1446	1141
559	1447	1137
560	1448	1133
561	1449	1129
562	1450	1126
563	1451	1122
564	1452	1118
565	1453	1114
566	1454	1110
567	1455	1107
568	1456	1103
569	1457	1099
570	1458	1096
571	1460	1092
572	1461	1089
573	1463	1086
574	1464	1082
575	1465	1078
576	1466	1075
577	1467	1071
578	1468	1067
579	1469	1064
580	1472	1061
581	1473	1058
582	1474	1054
583	1475	1050
584	1476	1047
585	1477	1043
586	1478	1040
587	1479	1036
588	1479	1032
589	1480	1029
590	1481	1025
591	1482	1021
592	1483	1018
593	1485	1015
594	1486	1011
595	1487	1008
596	1488	1004
597	1489	1001
598	1490	997
599	1491	994
600	1492	990
601	1493	987
602	1494	983
603	1495	980
604	1495	976
605	1496	973
606	1497	969
607	1499	966
608	1500	963
609	1501	959
610	1502	956
611	1503	953
612	1504	949
613	1504	946
614	1505	942
615	1506	939
616	1507	935
617	1508	932
618	1509	929
619	1510	925
620	1511	922
621	1513	919
622	1514	916
623	1515	913
624	1516	909
625	1517	906
626	1518	903
627	1519	899
628	1519	896
629	1520	893
630	1521	889
631	1522	886
632	1523	883
633	1524	880
634	1525	876
635	1526	873
636	1528	870
637	1529	867
638	1530	864
639	1531	861
640	1532	858
641	1533	854
642	1534	851
643	1535	848
644	1536	845
645	1537	842
646	1537	839
647	1538	835
648	1539	832
649	1541	829
650	1542	826
651	1543	823
652	1544	820
653	1545	817
654	1546	814
655	1547	811
656	1548	808
657	1549	805
658	1549	802
659	1550	798
660	1551	795
661	1552	792
662	1553	789
663	1554	786
664	1557	784
665	1557	781
666	1558	778
667	1559	775
668	1560	772
669	1561	769
670	1562	766
671	1563	763
672	1564	760
673	1565	757
674	1566	754
675	1567	751
676	1568	748
677	1571	746
678	1572	743
679	1573	740
680	1574	737
681	1576	734
682	1577	732
683	1579	729
684	1580	726
685	1582	724
686	1584	721
687	1585	719
688	1586	716
689	1587	713
690	1588	710
691	1589	707
692	1590	704
693	1591	701
694	1592	698
695	1593	695
696	1593	692
697	1594	690
698	1596	687
699	1596	684
700	1598	681
701	1599	679
702	1600	676
703	1601	673
704	1602	670
705	1602	667
706	1603	664
707	1604	661
708	1605	659
709	1606	656
710	1607	653
711	1608	650
712	1609	647
713	1610	645
714	1612	642
715	1613	639
716	1614	637
717	1615	634
718	1616	631
719	1617	628
720	1618	626
721	1618	623
722	1620	620
723	1620	617
724	1621	615
725	1623	612
726	1624	609
727	1625	607
728	1627	604
729	1628	602
730	1629	599
731	1630	596
732	1631	594
733	1632	591
734	1633	588
735	1633	586
736	1634	583
737	1635	580
738	1637	578
739	1638	575
740	1639	572
741	1640	570
742	1641	567
743	1642	565
744	1643	562
745	1644	559
746	1645	557
747	1646	554
748	1647	552
749	1648	549
750	1649	546
751	1650	544
752	1651	541
753	1652	539
754	1652	536
755	1654	533
756	1655	531
757	1656	528
758	1657	526
759	1658	523
760	1659	521
761	1660	518
762	1661	516
763	1662	513
764	1663	511
765	1664	508
766	1665	506
767	1666	503
768	1667	500
769	1669	498
770	1670	496
771	1671	493
772	1672	491
773	1673	488
774	1674	486
775	1675	483
776	1676	481
777	1677	478
778	1678	476
779	1679	473
780	1680	471
781	1681	468
782	1682	466
783	1683	463
784	1684	461
785	1685	458
786	1686	456
787	1689	454
788	1690	452
789	1691	449
790	1692	447
791	1693	444
792	1695	442
793	1698	440
794	1699	438
795	1700	435
796	1702	433
797	1703	431
798	1705	429
799	1707	426
800	1709	424
801	1711	422
802	1713	420
803	1714	417
804	1715	415
805	1717	413
806	1718	410
807	1719	408
808	1720	406
809	1721	403
810	1722	401
811	1724	399
812	1726	397
813	1727	394
814	1728	392
815	1730	390
816	1731	387
817	1732	385
818	1733	383
819	1734	380
820	1735	378
821	1736	376
822	1737	373
823	1738	371
824	1740	369
825	1741	366
826	1742	364
827	1743	362
828	1744	359
829	1745	357
830	1746	355
831	1747	352
832	1748	350
833	1749	348
834	1750	345
835	1751	343
836	1752	341
837	1753	339
838	1754	336
839	1756	334
840	1757	332
841	1758	329
842	1758	327
843	1759	325
844	1760	322
845	1761	320
846	1762	318
847	1763	316
848	1764	313
849	1765	311
850	1766	309
851	1767	307
852	1768	304
853	1769	302
854	1771	300
855	1772	298
856	1773	295
857	1774	293
858	1775	291
859	1776	289
860	1777	286
861	1778	284
862	1779	282
863	1781	280
864	1783	278
865	1784	276
866	1786	274
867	1787	271
868	1788	269
869	1789	267
870	1790	265
871	1791	262
872	1792	260
873	1793	258
874	1794	256
875	1795	254
876	1796	252
877	1798	249
878	1799	247
879	1800	245
880	1800	243
881	1801	241
882	1802	238
883	1803	236
884	1804	234
885	1805	232
886	1806	230
887	1807	227
888	1808	225
889	1809	223
890	1811	221
891	1812	219
892	1813	217
893	1814	215
894	1815	213
895	1816	210
896	1817	208
897	1818	206
898	1819	204
899	1820	202
900	1821	200
901	1822	197
902	1823	195
903	1824	193
904	1826	191
905	1826	189
906	1827	187
907	1828	185
908	1829	183
909	1830	181
910	1831	178
911	1832	176
912	1833	174
913	1834	172
914	1835	170
915	1836	168
916	1837	166
917	1839	164
918	1841	162
919	1842	160
920	1843	158
921	1844	156
922	1845	153
923	1846	151
924	1846	149
925	1847	147
926	1848	145
927	1849	143
928	1850	141
929	1851	139
930	1853	137
931	1854	135
932	1855	133
933	1856	131
934	1856	129
935	1857	127
936	1858	124
937	1859	122
938	1860	120
939	1861	118
940	1862	116
941	1863	114
942	1864	112
943	1865	110
944	1867	108
945	1868	106
946	1869	104
947	1869	102
948	1870	100
949	1872	98
950	1872	96
951	1873	94
952	1874	92
953	1875	90
954	1876	88
955	1877	86
956	1878	84
957	1879	82
958	1880	80
959	1882	78
960	1883	76
961	1884	74
962	1885	72
963	1885	70
964	1886	68
965	1887	66
966	1888	64
967	1889	62
968	1890	60
969	1891	58
970	1892	56
971	1893	54
972	1895	52
973	1896	50
974	1897	48
975	1898	46
976	1898	44
977	1899	42
978	1900	40
979	1901	38
980	1902	36
981	1903	34
982	1904	32
983	1905	30
984	1906	29
985	1907	27
986	1908	25
987	1910	23
988	1911	21
989	1912	19
990	1912	17
991	1913	15
992	1914	13
993	1916	11
994	1917	9
995	1918	7
996	1918	5
997	1919	3
998	1920	1
999	1921	0
